"c3","date","country","COLLEGE","SG","SJ","COMM","ECFIN","ENTR","COMP","EMPL","AGRI","MOVE","ENER","ENV","CLIMA","RTD","JRC","INFSO","MARE","MARKT","REGIO","TAXUD","EAC","HOME","JUST","FPI","TRADE","DEVCO","ECHO","ESTAT","HR","DIGIT","BUDG","IAS","OLAF","SCIC","DGT","OP","OIB","PMO","OIL","EPSO","CdP.OSP","CNECT","GROW","FISMA","SANTE","NEAR","NON.ASSIGN.DG","TF50","SRSS","DEFIS","IDEA","REFORM","UKTF","total","INTPA","HERA","year","month","spring"
"SVN",2016-01-01,"Slovenia",7,4,5,25,6,0,7,7,6,2,1,7,1,6,16,0,0,0,5,2,2,3,2,0,3,4,3,5,1,0,1,1,1,13,86,9,2,0,1,0,0,5,8,5,8,10,0,0,0,0,0,0,0,560,0,0,2016,1,1
"SVN",2020-07-01,"Slovenia",10,4,4,22,6,0,7,9,8,2,2,3,3,8,16,0,1,0,9,6,4,3,6,1,5,8,7,6,9,1,2,1,0,15,77,12,3,0,1,2,0,7,8,4,8,9,0,0,0,1,0,6,1,327,0,0,2020,7,0
"SVN",2019-04-03,"Slovenia",8,5,4,22,6,0,7,8,7,2,3,3,1,9,17,0,1,0,8,5,5,2,6,2,5,11,5,6,7,1,2,1,0,13,79,10,2,0,1,1,0,6,8,4,6,10,0,1,3,0,0,0,0,313,0,0,2019,4,1
"SVN",2011-12-01,"Slovenia",7,0,5,10,6,5,4,5,8,2,3,3,2,4,10,6,0,5,4,5,1,2,2,0,3,1,2,4,2,0,0,0,1,13,71,10,1,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,446,0,0,2011,12,0
"SVN",2018-10-01,"Slovenia",7,6,4,22,7,0,7,7,7,2,2,4,1,9,18,0,1,0,8,5,3,2,5,1,3,7,4,7,6,2,1,1,0,13,79,10,2,0,1,1,1,6,7,4,5,10,0,2,0,0,0,0,0,300,0,0,2018,10,0
"SVN",2012-12-01,"Slovenia",7,0,5,11,6,4,4,5,5,1,2,2,2,4,13,0,0,4,5,4,1,4,2,0,7,2,3,4,2,0,0,1,1,13,70,11,1,0,0,0,0,6,0,0,8,4,0,0,0,0,0,0,0,448,0,0,2012,12,0
"SVN",2018-01-01,"Slovenia",6,5,6,23,7,0,8,7,8,2,2,4,1,9,17,0,0,0,7,2,3,2,3,1,3,4,4,6,3,1,0,1,1,13,82,11,2,0,0,1,1,6,7,6,6,11,0,1,0,0,0,0,0,586,0,0,2018,1,1
"SVN",2019-01-01,"Slovenia",8,4,4,22,6,0,8,7,7,2,2,4,1,9,17,0,1,0,8,5,4,2,6,1,5,9,5,6,7,1,1,1,0,12,80,11,2,0,1,1,0,6,7,4,6,10,0,1,2,0,0,0,0,306,0,0,2019,1,1
"SVN",2013-12-01,"Slovenia",6,1,5,12,6,5,5,5,6,1,2,3,2,4,13,0,0,5,4,3,3,2,3,0,6,2,3,4,1,0,0,1,1,13,75,11,1,0,0,0,0,5,0,0,8,3,0,0,0,0,0,0,0,460,0,0,2013,12,0
"SVN",2017-01-01,"Slovenia",7,5,4,24,6,0,6,8,7,1,2,5,0,8,18,0,0,0,6,2,2,2,2,0,4,5,4,5,1,1,1,1,1,12,82,11,2,0,1,1,1,6,7,6,7,12,0,0,0,0,0,0,0,572,0,0,2017,1,1
